epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,44378.9,0.51388,0.73799,0.29344,0.88925,0,0.99924,0.99855,0.995,0.96367,0.99924,0.99855,0.995,0.94516,0.27901,0.42038,0.14722,0.79931,0,0.021818,0.00727268,0.021818,0.00727268,0.021818,0.00727268,0.021818,0.00727268
72,44952.7,0.50342,0.72375,0.28476,0.88387,0,0.99885,0.99855,0.995,0.96461,0.99885,0.99855,0.995,0.94588,0.27696,0.41805,0.14651,0.79871,0,0.0216075,0.0072025,0.0216075,0.0072025,0.0216075,0.0072025,0.0216075,0.0072025
73,45508.5,0.50985,0.72939,0.2901,0.8854,0,0.99869,0.99855,0.995,0.96473,0.99869,0.99855,0.995,0.94566,0.27545,0.41608,0.14608,0.7985,0,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177
74,46068.5,0.50416,0.72266,0.28947,0.88555,0,0.99929,0.99855,0.995,0.96491,0.99929,0.99855,0.995,0.94474,0.27372,0.41364,0.14485,0.79826,0,0.0211815,0.00706051,0.0211815,0.00706051,0.0211815,0.00706051,0.0211815,0.00706051
75,46624.2,0.50182,0.7227,0.28601,0.88668,0,0.99937,0.99855,0.995,0.965,0.99937,0.99855,0.995,0.94593,0.27254,0.41124,0.14464,0.7979,0,0.0209663,0.00698875,0.0209663,0.00698875,0.0209663,0.00698875,0.0209663,0.00698875
76,47206.7,0.50198,0.71836,0.28486,0.88429,0,0.99939,0.99855,0.995,0.9652,0.99939,0.99855,0.995,0.9463,0.2702,0.40868,0.14384,0.79737,0,0.0207495,0.0069165,0.0207495,0.0069165,0.0207495,0.0069165,0.0207495,0.0069165
77,47762.3,0.49664,0.70878,0.28276,0.88233,0,0.99942,0.99855,0.995,0.96611,0.99942,0.99855,0.995,0.94635,0.26865,0.40693,0.14369,0.79701,0,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378
78,48334.2,0.49437,0.70917,0.28418,0.8803,0,0.99952,0.99836,0.995,0.96519,0.99952,0.99836,0.995,0.94659,0.26795,0.40561,0.14358,0.79662,0,0.0203118,0.00677061,0.0203118,0.00677061,0.0203118,0.00677061,0.0203118,0.00677061
79,48889.5,0.49017,0.70321,0.28019,0.88031,0,0.99952,0.99836,0.995,0.96637,0.99952,0.99836,0.995,0.94737,0.26655,0.40389,0.14236,0.79643,0,0.020091,0.006697,0.020091,0.006697,0.020091,0.006697,0.020091,0.006697
80,49444.7,0.48791,0.69679,0.28011,0.88026,0,0.99952,0.99831,0.995,0.96642,0.99952,0.99831,0.995,0.94725,0.26522,0.40268,0.14217,0.79617,0,0.0198689,0.00662297,0.0198689,0.00662297,0.0198689,0.00662297,0.0198689,0.00662297
81,49999.5,0.48422,0.69309,0.27873,0.8783,0,0.99952,0.99841,0.995,0.96735,0.99952,0.99841,0.995,0.94682,0.26443,0.40132,0.14197,0.79573,0,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854
82,50597.3,0.48216,0.6915,0.27421,0.8764,0,0.99903,0.99943,0.995,0.96753,0.99903,0.99943,0.995,0.94667,0.26302,0.40027,0.14214,0.79545,0,0.0194212,0.00647373,0.0194212,0.00647373,0.0194212,0.00647373,0.0194212,0.00647373
83,51155.2,0.47875,0.68593,0.27529,0.87576,0,0.99888,0.99952,0.995,0.96777,0.99888,0.99952,0.995,0.94699,0.26212,0.39895,0.14102,0.79504,0,0.0191957,0.00639856,0.0191957,0.00639856,0.0191957,0.00639856,0.0191957,0.00639856
84,51710.7,0.47485,0.68315,0.27293,0.87615,0,0.99904,0.99903,0.995,0.96731,0.99904,0.99903,0.995,0.94694,0.26088,0.39759,0.14073,0.79464,0,0.0189691,0.00632305,0.0189691,0.00632305,0.0189691,0.00632305,0.0189691,0.00632305
85,52265.7,0.47363,0.67828,0.27028,0.8737,0,0.99952,0.99848,0.995,0.96777,0.99952,0.99848,0.995,0.94684,0.26002,0.3964,0.14038,0.79444,0,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721
86,52821.2,0.46851,0.67485,0.27,0.87069,0,0.99952,0.99839,0.995,0.96789,0.99952,0.99839,0.995,0.94679,0.25914,0.3955,0.14015,0.79411,0,0.0185132,0.00617106,0.0185132,0.00617106,0.0185132,0.00617106,0.0185132,0.00617106
87,53392.8,0.46426,0.67047,0.2691,0.8711,0,1,0.99844,0.995,0.96898,1,0.99844,0.995,0.94662,0.25821,0.39442,0.14011,0.7939,0,0.0182839,0.00609463,0.0182839,0.00609463,0.0182839,0.00609463,0.0182839,0.00609463
88,53955.8,0.46497,0.66225,0.26579,0.87044,0,1,0.99883,0.995,0.96902,1,0.99883,0.995,0.94727,0.25726,0.39324,0.14036,0.79355,0,0.0180538,0.00601792,0.0180538,0.00601792,0.0180538,0.00601792,0.0180538,0.00601792
89,54522.5,0.46048,0.66099,0.26657,0.86857,0,1,0.99886,0.995,0.96907,1,0.99886,0.995,0.94713,0.25637,0.39215,0.13924,0.79336,0,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097
90,55219.2,0.46348,0.6613,0.26928,0.86871,0,1,0.99889,0.995,0.96913,1,0.99889,0.995,0.94708,0.25568,0.39122,0.13848,0.79322,0,0.0175914,0.00586379,0.0175914,0.00586379,0.0175914,0.00586379,0.0175914,0.00586379
91,55788,0.45551,0.65575,0.26242,0.86753,0,0.99952,0.99913,0.995,0.96924,0.99952,0.99913,0.995,0.94727,0.25468,0.39013,0.13804,0.79291,0,0.0173592,0.00578639,0.0173592,0.00578639,0.0173592,0.00578639,0.0173592,0.00578639
92,56360.8,0.45299,0.6515,0.26114,0.86586,0,0.99901,0.99952,0.995,0.96932,0.99901,0.99952,0.995,0.94751,0.25376,0.38905,0.13753,0.79269,0,0.0171264,0.0057088,0.0171264,0.0057088,0.0171264,0.0057088,0.0171264,0.0057088
93,56924.4,0.45484,0.6514,0.26417,0.86717,0,0.99952,0.99871,0.995,0.96929,0.99952,0.99871,0.995,0.94747,0.25318,0.38802,0.13659,0.79249,0,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104
94,57493.1,0.45229,0.64562,0.2611,0.86592,0,0.9991,0.99952,0.995,0.96925,0.9991,0.99952,0.995,0.94757,0.25248,0.38702,0.1365,0.79234,0,0.0166594,0.00555312,0.0166594,0.00555312,0.0166594,0.00555312,0.0166594,0.00555312
